                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8263,                 0.8386,                 1.8853,                0.95594,                0.96222,                0.98504,                0.77623,                 1.6563,                0.68939,                 1.8639,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8117,                0.80759,                 1.8677,                0.96968,                0.96071,                0.98563,                0.78131,                 1.6506,                0.69017,                 1.8665,               0.001307,               0.001307,               0.001307
                     37,                 1.8294,                0.82847,                 1.8977,                0.96805,                0.95369,                0.98485,                0.76336,                 1.7248,                0.69606,                 1.8896,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8571,                0.81826,                 1.8776,                0.96233,                0.95025,                0.98442,                0.78161,                 1.6258,                0.68164,                 1.8425,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8099,                0.80871,                 1.8777,                0.96676,                0.95704,                 0.9832,                0.72308,                  1.909,                0.77394,                 1.9149,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8029,                0.84033,                 1.8787,                0.95688,                0.95242,                0.98536,                0.77724,                  1.657,                0.71219,                 1.8593,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8054,                0.81768,                 1.8748,                0.97632,                0.94376,                 0.9858,                0.77224,                 1.6615,                0.71177,                 1.8714,               0.001208,               0.001208,               0.001208
                     42,                 1.8011,                0.81784,                 1.8687,                 0.9556,                 0.9544,                0.98565,                0.77729,                 1.6542,                0.69033,                 1.8645,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8001,                0.81631,                 1.8567,                0.97967,                0.96498,                 0.9883,                0.78748,                 1.5992,                0.65205,                  1.853,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7798,                0.79336,                 1.8791,                0.97091,                0.95508,                0.98954,                0.77245,                 1.6721,                0.67776,                 1.8604,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7708,                0.77018,                 1.8519,                0.97487,                0.95422,                0.98555,                0.78329,                 1.6141,                 0.6631,                 1.8443,              0.0011288,              0.0011288,              0.0011288
